id,activities_id,height_id,sky_id,observer_id,timestamp,address_country,address_state,location,see_aurora,sky_other,time_start,time_end,on_going,height_other,activities_other,colors_other,types_other,comment,image,st_y,st_x,colors,types
586,acti,over,,,2015-01-07 21:48:42.444248+00,United States,AK,0101000020E61000003B3D8E683DB762C00E25DD66DF914E40,t,,2015-01-07 11:15:00+00,2015-01-07 12:30:00+00,f,,,,,,n,61.13963018,-149.7262461,"gree, pink","arcs, glow, patc"
587,,over,,,2015-01-07 21:52:32.200084+00,United States,AK,0101000020E6100000755C7C0E96B762C0105FEA37E8914E40,t,,2015-01-07 11:30:00+00,2015-01-07 12:30:00+00,f,,,,,,y,61.13989924,-149.7370675,whit,"arcs, glow, patc"
589,,over,,,2015-01-08 07:23:38.582242+00,United States,AK,0101000020E6100000880D8F2FF0B762C0731DC7B258914E40,t,,2015-01-07 11:45:00+00,2015-01-07 12:15:00+00,f,,,,,,n,61.13551936,-149.7480696,"red, gree","arcs, glow, patc"
588,,,clea,,2015-01-07 22:14:50.297078+00,Sweden,Norrbottens l_ùn,0101000020E6100000FF321966188C3440EA7F6D0188F55040,f,,2015-01-07 14:30:00+00,2015-01-07 22:15:00+00,f,,,,,,n,67.83642612,20.5472473,,
593,,,,,2015-01-09 00:01:06.499603+00,United States,CO,0101000020E6100000C57E5763D3515AC0B197F3B0BBFE4340,f,,2015-01-09 00:00:00+00,2015-01-09 00:15:00+00,f,,,,,,n,39.99010288,-105.2785271,,
596,,,,,2015-01-09 21:37:12.623383+00,Antarctica,,0101000020E6100000EBFFFFFFFFFF0740FEFFFFFFFF7F56C0,f,,2015-01-09 21:30:00+00,2015-01-09 21:45:00+00,f,,,,,,n,-90,3,,
597,,,,,2015-01-10 01:38:20.767648+00,Islandia,H__fu__borgarsv_ç__i__,0101000020E6100000C4568BBA07F635C0B5CDF091EA075040,f,,2015-01-10 01:30:00+00,2015-01-10 01:45:00+00,f,,,,,,n,64.12369202,-21.96105543,,
598,quie,,,560,2015-01-10 05:00:04.907541+00,Canada,AB,0101000020E6100000A7B8FA5A04DA5BC0D45B0F480C5C4C40,t,,2015-01-10 03:45:00+00,2015-01-10 04:00:00+00,f,,,,,,n,56.7191248,-111.4065158,gree,glow
600,quie,n,,738,2015-01-11 07:05:51.905895+00,Finland,,0101000020E6100000790E00FA8E663B400D1BA5CB011A5140,t,,2015-01-10 21:00:00+00,2015-01-11 09:45:00+00,f,,,,,"Very very faint! 
Saw it between saariselka and ivalo ",n,68.40635959,27.40061915,"whit, gree","glow, patc"
599,,,,,2015-01-10 23:34:55.87425+00,_____∏,RI,0101000020E6100000411637E35DD751C0623394AA20E44440,f,,2015-01-10 23:30:00+00,2015-01-10 23:45:00+00,f,,,,,,n,41.7822469,-71.36510544,,
