"verified_type, twitter id, observation id",text,user_screen_name,st_y,st_x,location_full_name,location_country,created_at,Total Votes,Score
"(pos,682734899200016384,682734899200016384)",@CrystalLearns We are traveling from Lloydminster to Saskatoon right now &amp; watching them too! #NorthernLights,FNGraham,52.1031398,-106.6747316,"Saskatoon, 11",Canada,2016-01-01 01:27:39+00,2,2
"(pos,682735608536502272,682735608536502272)","#NorthernLights on display in central North Dakota!! View from the ND DOT webcam near Pettibone, ND. #Aurora https://t.co/CGYoEs31pq",AaronWhiteTV,47.47966514,-100.0040327,"North Dakota, ND",United States,2016-01-01 01:30:28+00,2,2
"(pos,682735913500303361,682735913500303361)",@TamithaSkov #aurora is visible from inside Calgary moments ago. Could see a few pillars due east while driving to dinner.,BobMros,51.02777148,-114.1039911,"Calgary, 01",Canada,2016-01-01 01:31:41+00,2,2
"(pos,682736419631173632,682736419631173632)","#eustorm S427DG,UK 3/30 1st ever viewing of the Aurora Borealis! Just North of Eastmoor, Midlands, UK #HNY #HNY2016 https://t.co/EOXqmqMOtH",EUStormMap,54.75369076,-2.731598215,"United Kingdom of Great Britain and Northern Ireland, 00",United Kingdom,2016-01-01 01:33:41+00,2,2
"(pos,682736777518436352,682736777518436352)",The #NorthernLights are on display across central North Dakota!! You may be able to see them tonight as the... https://t.co/btkfhMr66s,WDAZTV,47.47546686,-100.00645,"North Dakota, ND",United States,2016-01-01 01:35:07+00,2,2
"(pos,682737068837998592,682737068837998592)",Aurora visible over #Edmonton. #HappyNewYear everyone! #yeg,rougesky,53.54138805,-113.4853248,"Edmonton, 01",Canada,2016-01-01 01:36:16+00,2,2
"(pos,682740461547552769,682740461547552769)",Starting to see a bit of aurora on the horizon in Birch Hills. Looking forward to a good show tonight!,GarethPerry314,55.64381968,-118.275142,"Birch Hills, 01",Canada,2016-01-01 01:49:45+00,2,2
"(pos,682741766206930944,682741766206930944)",It just gets better :) #aurora #nefife #scotland https://t.co/W2HQenclH0,corinne_mills,55.98234889,-4.018345381,"Scotland, SCT",United Kingdom,2016-01-01 01:54:56+00,2,2
"(pos,682741827577995265,682741827577995265)",It just gets better :) #aurora #nefife #scotland https://t.co/DZ1iHZQnmn,corinne_mills,55.99198889,-4.030514576,"Scotland, SCT",United Kingdom,2016-01-01 01:55:11+00,2,2
"(pos,682742870894194689,682742870894194689)",The aurora is already strong over Yellowknife! •___,randi_beers,62.44181155,-114.3758053,"Yellowknife, 13",Canada,2016-01-01 01:59:19+00,2,2
"(pos,682743011697147905,682743011697147905)","How to start the year in style •__ç #auroresboreales #northernlights #scotland #skye @ Glendale, Skye https://t.co/UW2tFPAydw",windy_wendy,57.43865093,-6.747551464,"Lephin, Scotland",United Kingdom,2016-01-01 01:59:53+00,2,2
"(pos,682743572458647552,682743572458647552)","Hey Calgary, stormin' #northernlights were visible already at twilight. Get thee to a dark sky location before the next surge. Stunning.",cheriyyc,51.04723269,-114.1195835,"Calgary, 01",Canada,2016-01-01 02:02:07+00,2,2
"(pos,682754168512098304,682754168512098304)","Happy New Year's from Macdonald, Manitoba! #NorthernLights #auroraborealis https://t.co/pb6ka1XnYp",BradyKnight1,54.98702777,-97.00344987,"Manitoba, 03",Canada,2016-01-01 02:44:13+00,2,2
"(pos,682755006571794432,682755006571794432)","Amazing #auroraborealis near Macdonald, Manitoba tonight! #NorthernLights https://t.co/jO72VjoJvO",BradyKnight1,46.46576502,-84.05175103,"Macdonald, 08",Canada,2016-01-01 02:47:33+00,2,2
"(pos,682780895246462978,682780895246462978)",Rare cellphone picture in my IG. Aurora in Waterton lakes NP. Just few hours before New Year.__° https://t.co/lL5al6TMiA,SDLPhoto,49.042177,-113.9158722,"Improvement District No.  4 Waterton, Alberta",Canada,2016-01-01 04:30:25+00,2,2
"(pos,682784983975510016,682784983975510016)",Aurora visible to N and E of #Whitehorse (if you are outside the influence of city lights). @AuroraMAX,K04PB2B,60.70517925,-135.0832328,"Whitehorse, 12",Canada,2016-01-01 04:46:40+00,2,2
"(pos,682788471941906432,682788471941906432)",No fireworks where I'm at tonight.  Instead Mother Nature providing a show in the sky instead. #NorthernLights #Alberta,StellaCFCW,52.27436662,-117.4930214,"Alberta, 01",Canada,2016-01-01 05:00:31+00,2,2
"(pos,682791193529290752,682791193529290752)","Faint #aurora above the horizon north of Sturgis, SD @spaceweather https://t.co/sBqOz5EAaP",Wx_Dan,41.77750219,-85.44025091,"Sturgis, MI",United States,2016-01-01 05:11:20+00,4,2
"(pos,682791921975046148,682791921975046148)",Aurora is out over anchorage right now!!,kitaq,61.20700893,-149.9023198,"Anchorage, AK",United States,2016-01-01 05:14:14+00,2,2
