st_y,st_x,country,time,see_aurora
61.47722514,-148.9403633,United States,2015-03-21T07:05:41Z,1
53.77725513,-1.58216232,United Kingdom,2015-03-27T02:44:15Z,1
52.31532718,-112.7558228,Canada,2015-04-09T05:35:26Z,1
55.13951275,-8.11206484,Ireland,2015-04-10T02:26:18Z,1
53.53371591,-113.4948866,Canada,2015-04-10T03:49:27Z,1
51.29419114,-114.0376374,Canada,2015-04-10T03:54:39Z,1
51.0479399,-114.0984008,Canada,2015-04-10T04:24:40Z,1
47.90637039,-97.46059474,United States,2015-04-10T04:29:05Z,1
51.03109376,-114.1037945,Canada,2015-04-10T04:45:30Z,1
50.70802667,-113.9184467,Canada,2015-04-10T06:13:29Z,1
51.04109994,-114.0892988,Canada,2015-04-11T03:30:03Z,1
52.32400519,-112.7509576,Canada,2015-04-11T08:37:57Z,1
51.03524626,-114.1154336,Canada,2015-04-11T11:10:50Z,1
51.04766181,-114.1026153,Canada,2015-04-11T11:14:46Z,1
51.03857937,-114.0942309,Canada,2015-04-11T11:52:21Z,1
-42.00322212,173.9921381,New Zealand,2015-04-19T02:30:19Z,1
52.28596795,-112.1995878,Canada,2015-04-19T04:20:26Z,1
52.26842104,-112.4428763,Canada,2015-04-19T04:50:13Z,1
64.9893913,-18.03033254,Iceland,2015-04-20T19:58:11Z,1
50.65828014,-102.1008683,Canada,2015-04-21T04:47:36Z,1
63.72054401,-68.44962361,Canada,2015-04-22T03:06:48Z,1
60.80889494,-115.8227098,Canada,2015-05-10T06:40:19Z,1
52.15317573,-0.705164983,United Kingdom,2015-05-12T23:12:52Z,1
55.65632913,-1.827878339,United Kingdom,2015-05-13T00:09:06Z,1
44.49034476,-90.01331287,United States,2015-05-13T03:01:28Z,1
44.47476092,-90.02806487,United States,2015-05-13T03:02:59Z,1
48.37641219,-89.28185092,Canada,2015-05-13T03:17:40Z,1
45.19894593,-91.58783776,United States,2015-05-13T03:22:26Z,1
46.24317453,-94.26644263,United States,2015-05-13T03:36:49Z,1
41.98982847,-93.50140511,United States,2015-05-13T05:01:22Z,1
53.54908115,-113.4693634,Canada,2015-05-13T05:21:07Z,1
53.53721127,-113.4734635,Canada,2015-05-13T05:33:02Z,1
50.63240199,-104.873805,Canada,2015-05-13T05:43:24Z,1
52.27191151,-117.4746795,Canada,2015-05-13T05:45:48Z,1
52.26981468,-117.4852414,Canada,2015-05-13T06:01:59Z,1
50.56417931,-111.9112078,Canada,2015-05-13T06:50:37Z,1
51.04526551,-114.0983447,Canada,2015-05-13T06:53:01Z,1
52.27791605,-117.4842816,Canada,2015-05-13T06:53:53Z,1
-34.76125799,138.5113366,Australia,2015-05-13T14:35:29Z,1
44.55010868,-80.93216171,Canada,2015-05-19T02:40:51Z,1
52.27513545,-117.4785111,Canada,2015-05-19T06:51:29Z,1
47.279082,-91.26407938,United States,2015-05-20T03:42:03Z,1
41.9925351,-93.50383624,United States,2015-06-08T07:06:21Z,1
52.26422007,-117.4899829,Canada,2015-06-08T07:23:20Z,1
50.50107319,-104.6764039,Canada,2015-06-14T08:05:08Z,1
50.49267892,-104.6795731,Canada,2015-06-14T08:12:44Z,1
50.49920481,-104.6838244,Canada,2015-06-22T06:53:35Z,1
53.3321469,-6.267144939,Ireland,2015-06-22T22:55:48Z,1
53.08757503,-2.471468067,United Kingdom,2015-06-22T23:08:05Z,1
45.47748305,-69.28441786,United States,2015-06-23T02:27:16Z,1
45.48167509,-69.27205959,United States,2015-06-23T03:14:57Z,1
44.49488424,-90.02458687,United States,2015-06-23T03:29:06Z,1
38.86621511,-99.34101396,United States,2015-06-23T03:34:16Z,1
44.49152594,-90.02453838,United States,2015-06-23T03:36:46Z,1
46.22875882,-94.26745042,United States,2015-06-23T03:38:02Z,1
46.23898045,-94.25841721,United States,2015-06-23T03:47:33Z,1
38.49926003,-98.50369993,United States,2015-06-23T03:58:00Z,1
46.86394349,-96.80611348,United States,2015-06-23T04:12:32Z,1
38.33865411,-98.81254565,United States,2015-06-23T04:26:41Z,1
43.54512391,-96.72786153,United States,2015-06-23T04:34:29Z,1
45.08889235,-91.50134336,United States,2015-06-23T04:35:56Z,1
46.24083332,-94.25824966,United States,2015-06-23T04:38:49Z,1
40.72270451,-74.04573956,United States,2015-06-23T04:39:34Z,1
46.86492092,-96.79121275,United States,2015-06-23T04:40:24Z,1
46.23906868,-94.26419478,United States,2015-06-23T04:42:28Z,1
43.93699575,-94.94365572,United States,2015-06-23T04:44:00Z,1
50.45746071,-104.882417,Canada,2015-06-23T04:52:58Z,1
40.78058998,-96.68490934,United States,2015-06-23T04:53:11Z,1
46.86688136,-96.80373917,United States,2015-06-23T05:00:49Z,1
45.79700266,-88.06648035,United States,2015-06-23T05:02:39Z,1
49.84022758,-97.44823925,Canada,2015-06-23T05:05:01Z,1
50.47796382,-104.8956749,Canada,2015-06-23T05:06:00Z,1
46.22724373,-94.2830336,United States,2015-06-23T05:08:40Z,1
45.12757849,-93.15445007,United States,2015-06-23T05:11:19Z,1
44.96714109,-93.28568293,United States,2015-06-23T05:11:54Z,1
42.98271938,-75.51515373,United States,2015-06-23T05:12:39Z,1
44.4023171,-104.3952171,United States,2015-06-23T05:13:35Z,1
47.48349327,-100.0165581,United States,2015-06-23T05:18:36Z,1
46.87299577,-96.79484403,United States,2015-06-23T05:22:20Z,1
46.97813881,-109.7600456,United States,2015-06-23T05:22:37Z,1
51.0376833,-114.1003232,Canada,2015-06-23T05:23:34Z,1
45.51264761,-122.6845372,United States,2015-06-23T05:52:33Z,1
46.97739722,-109.7552166,United States,2015-06-23T06:17:45Z,1
46.65153297,-111.7196903,United States,2015-06-23T06:19:56Z,1
48.68778271,-113.819963,United States,2015-06-23T07:10:52Z,1
44.77240888,-89.69311543,United States,2015-06-23T08:00:35Z,1
49.24206572,-84.51601806,Canada,2015-06-24T03:46:45Z,1
59.89624147,10.71847099,Norway,2015-06-24T20:50:26Z,1
40.62737842,-73.97507077,United States,2015-06-25T04:03:00Z,1
53.53891887,-113.4722629,Canada,2015-06-25T08:00:08Z,1
-41.99986979,173.9913121,New Zealand,2015-06-25T14:47:09Z,1
43.95652604,-80.74864489,Canada,2015-07-13T04:19:22Z,1
60.0843057,-113.641837,Canada,2015-07-23T05:05:24Z,1
50.47397557,-104.5149205,Canada,2015-07-23T05:59:38Z,1
53.5022947,-113.3538124,Canada,2015-07-23T06:26:17Z,1
49.24876082,-123.1315083,Canada,2015-07-23T07:16:24Z,1
49.64420692,-125.465025,Canada,2015-07-23T07:51:35Z,1
60.1062122,-113.6620806,Canada,2015-07-23T08:06:09Z,1
49.24160793,-123.1374093,Canada,2015-08-07T07:15:28Z,1
63.98210835,-150.0215172,United States,2015-08-07T11:45:39Z,1
50.6792502,-104.625072,Canada,2015-08-08T07:03:05Z,1
50.68096388,-104.5943214,Canada,2015-08-08T07:21:58Z,1
50.58465162,-104.6282918,Canada,2015-08-08T07:54:30Z,1
50.49959049,-104.6934479,Canada,2015-08-08T08:26:01Z,1
49.2425884,-123.1239854,Canada,2015-08-08T09:02:59Z,1
50.49132353,-104.6706183,Canada,2015-08-09T05:30:52Z,1
49.22809803,-84.51558145,Canada,2015-08-16T03:25:48Z,1
41.99495671,-93.51166429,United States,2015-08-16T03:30:13Z,1
50.35675875,-102.5390977,Canada,2015-08-16T04:02:22Z,1
52.2674484,-117.5011313,Canada,2015-08-16T06:16:57Z,1
40.23997851,-83.0026872,United States,2015-08-16T06:25:57Z,1
50.75955308,-104.528279,Canada,2015-08-17T07:39:51Z,1
50.69603779,-104.6354099,Canada,2015-08-19T06:18:09Z,1
50.67129075,-104.6167218,Canada,2015-08-19T06:40:44Z,1
51.03657648,-114.1198561,Canada,2015-08-19T07:47:24Z,1
61.19520712,-149.9266391,United States,2015-08-19T09:45:49Z,1
63.98120975,-150.0249559,United States,2015-08-26T08:52:14Z,1
44.48165446,-90.02559979,United States,2015-08-27T03:03:03Z,1
45.19416939,-91.57578749,United States,2015-08-27T03:21:54Z,1
55.98267304,-4.030522417,United Kingdom,2015-08-27T23:33:08Z,1
64.12736459,-21.93543265,Ìsland,2015-08-28T00:04:30Z,1
55.99778915,-4.016666404,United Kingdom,2015-08-28T00:22:52Z,1
60.08724528,-113.6621731,Canada,2015-08-28T01:49:05Z,1
45.39321934,-75.71738778,Canada,2015-08-28T03:52:58Z,1
60.16992809,24.89547818,Finland,2015-08-28T20:16:32Z,1
60.54576462,21.34768922,Suomi,2015-08-28T20:20:34Z,1
63.98851893,25.97881483,Finland,2015-08-28T20:23:05Z,1
63.98727097,25.96009566,Finland,2015-08-28T21:25:04Z,1
53.54501146,-113.4920638,Canada,2015-09-04T04:14:38Z,1
49.24256666,-84.50501039,Canada,2015-09-07T06:58:23Z,1
55.9901284,-4.000879933,United Kingdom,2015-09-07T20:41:33Z,1
61.98684221,9.970927805,Norway,2015-09-07T21:05:59Z,1
61.97726949,14.99534907,Sweden,2015-09-07T21:59:30Z,1
59.97789481,17.73146106,Sweden,2015-09-07T22:04:02Z,1
59.49854024,17.96886004,Sweden,2015-09-07T22:05:59Z,1
65.81933484,21.67016472,Sverige,2015-09-07T23:22:46Z,1
65.13681048,21.47179746,Sverige,2015-09-07T23:38:45Z,1
54.04083109,-2.831383925,United Kingdom,2015-09-07T23:52:53Z,1
52.15137896,-0.734047714,United Kingdom,2015-09-07T23:58:20Z,1
54.04085202,-2.829804781,United Kingdom,2015-09-08T00:11:41Z,1
49.24435903,-84.51730328,Canada,2015-09-08T01:50:13Z,1
40.71517234,-74.19490525,United States,2015-09-08T02:15:18Z,1
